block_code,from,to,row_width_in,row_depth_in,x_bottom_left_mm,y_bottom_left_mm,facing,has_nonhomogeneous_rows,how_many,which_ones
"NA",1,10,125,231,369853.9713,172041.3533,south,false,0,None
"NA",11,15,125,231,403106.9713,172041.3533,south,false,0,None
"NA",16,19,125,231,422991.9713,172041.3533,south,false,0,None
"NA",20,28,125,231,438180.4033,172042.6237,south,false,0,None
"NA",29,37,125,231,474854.1873,172042.6237,south,false,0,None
"NA",38,42,125,231,513342.0034,172042.623,south,false,0,None
"NA",43,46,125,231,532934.7713,172042.623,south,false,0,None
"NA",47,52,125,231,548418.0033,172042.6237,south,false,0,None
"NA",53,68,125,231,570358.1873,172042.6237,south,false,0,None
"NA",69,71,125,231,622233.8136,172042.6237,south,false,0,None
NB,1A,43C,120,216,468914.9873,167223.6097,north,true,5,6 12 18 24 30
NB,35A,67C,120,216,569498.9873,167223.6097,north,true,6,36 42 48 54 60 66
NC,1C,5,120,216,369346.9873,156250.8095,south,false,0,None
NC,7,11,120,216,385602.9873,156250.8095,south,false,0,None
NC,13,17,120,216,403890.9873,156250.8095,south,false,0,None
NC,19,23,120,216,422178.9873,156250.8095,south,false,0,None
NC,25,29,120,216,440466.9873,156250.8095,south,false,0,None
NC,31,34A,120,216,458754.9873,156250.8095,south,false,0,None
NC,35C,35C,120,216,472978.9873,156250.8097,south,false,0,None
NC,37,41,120,216,477042.9873,156250.8096,south,false,0,None
NC,43,47,120,216,495330.9873,156250.8096,south,false,0,None
NC,49,53,120,216,513618.9873,156250.8096,south,false,0,None
NC,55,59,120,216,531906.9873,156250.8096,south,false,0,None
NC,61,65,120,216,550194.9873,156250.8096,south,false,0,None
NC,67A,67A,120,216,568482.9873,156250.8097,south,false,0,None
ND,1A,34C,120,216,468914.9873,151551.8096,north,false,0,None
ND,35A,67C,120,216,569498.9873,151551.8097,north,false,0,None
NE,1C,34A,120,216,369346.9873,140579.0095,south,false,0,None
NE,35C,67A,120,216,472978.9873,140579.0096,south,false,0,None
NF,1A,5,120,216,382554.9873,135880.0098,north,false,0,None
NF,7,11,120,216,400842.9873,135880.0098,north,false,0,None
NF,13,17,120,216,419130.9873,135880.0098,north,false,0,None
NF,19,23,120,216,437418.9873,135880.0098,north,false,0,None
NF,25,29,120,216,455706.9873,135880.0098,north,false,0,None
NF,31,34C,120,216,468914.9873,135880.0097,north,false,0,None
NF,35A,35A,120,216,473994.9873,135880.0097,north,false,0,None
NF,37,41,120,216,492282.9873,135880.0097,north,false,0,None
NF,43,47,120,216,510570.9873,135880.0097,north,false,0,None
NF,49,53,120,216,528858.9873,135880.0097,north,false,0,None
NF,55,59,120,216,547146.9873,135880.0097,north,false,0,None
NF,61,65,120,216,565434.9873,135880.0097,north,false,0,None
NF,67C,67C,120,216,569498.9873,135880.0097,north,false,0,None
NG,1C,34A,120,216,369346.9873,124907.2095,south,true,5,6 12 18 24 30
NG,35C,67A,120,216,472978.9873,124907.2097,south,true,6,36 42 48 54 60 66
NH,1A,34C,120,216,468914.9874,119547.8095,north,true,3,6 18 30
NH,35A,67C,120,216,569498.9873,119547.8096,north,true,3,42 54 66
NI,1C,34A,120,216,369346.9873,108575.0094,south,true,3,6 18 30
NI,35C,67A,120,216,472978.9873,108575.0096,south,true,3,42 54 66
NJ,1A,34C,120,216,468914.9873,103211.9266,north,true,5,6 12 18 24 30
NJ,35A,67C,120,216,569498.9873,103211.9267,north,true,6,36 42 48 54 60 66
NK,1C,5,120,216,369346.9873,92239.1265,south,false,0,None
NK,7,11,120,216,385602.9873,92239.1265,south,false,0,None
NK,13,17,120,216,403890.9873,92239.1265,south,false,0,None
NK,19,23,120,216,422178.9873,92239.1265,south,false,0,None
NK,25,29,120,216,440466.9873,92239.1265,south,false,0,None
NK,31,34A,120,216,458754.9873,92239.1265,south,false,0,None
NK,35C,35C,120,216,472978.9873,92239.1266,south,false,0,None
NK,37,41,120,216,477042.9873,92239.1266,south,false,0,None
NK,43,47,120,216,495330.9873,92239.1266,south,false,0,None
NK,49,53,120,216,513618.9873,92239.1266,south,false,0,None
NK,55,59,120,216,531906.9873,92239.1266,south,false,0,None
NK,61,65,120,216,550194.9873,92239.1266,south,false,0,None
NK,67A,67A,120,216,568482.9873,92239.1267,south,false,0,None
NL,1A,34C,120,216,468914.9873,87546.1645,north,false,0,None
NL,35C,67C,120,216,569498.9873,87546.1645,north,false,0,None
NM,1C,34A,120,216,369346.9873,76573.3643,south,false,0,None
NM,35C,67A,120,216,472978.9873,76573.3645,south,false,0,None
NN,1A,5,120,108,382554.9873,71880.4021,north,false,0,None
NN,7,11,120,108,400842.9873,71880.4021,north,false,0,None
NN,13,17,120,108,419130.9873,71880.4021,north,false,0,None
NN,19,23,120,108,437418.9873,71880.4021,north,false,0,None
NN,25,29,120,108,455706.9873,71880.4021,north,false,0,None
NN,31,34C,120,108,468914.9873,71880.4021,north,false,0,None
NO,1C,34A,120,108,369346.9873,66394.0021,south,true,4,6 12 24 30
SA,1,8,60,320,584588.6296,100853.2498,north,false,0,None
SA,10,17,60,320,598304.6296,100853.2498,north,false,0,None
SA,18,29,60,320,621164.6296,100853.2498,north,false,0,None
SA,31,32,60,320,625736.6296,100853.2498,north,false,0,None
SA,33,47,60,320,625736.6296,100853.2498,north,false,0,None
SB,1,8,60,320,572396.6296,84593.2498,south,false,0,None
SB,10,17,60,320,586112.6296,84593.2498,south,false,0,None
SB,18,29,60,320,602876.6296,84593.2498,south,false,0,None
SB,31,32,60,320,622688.6296,84593.2498,south,false,0,None
SB,33,47,60,320,630308.6296,84593.2498,south,false,0,None
SC,1,17,60,320,598304.6296,79517.2497,north,false,0,None
SC,18,23,60,320,625736.6296,79517.2498,north,false,0,None
SC,33,38,60,320,639452.6296,79517.2498,north,false,0,None
SC,40,48,60,320,654692.6296,79517.2498,north,false,0,None
SD,1,17,60,320,572396.6296,63257.2498,south,false,0,None
SD,18,32,60,320,602876.6296,63257.2498,south,false,0,None
SD,33,38,60,320,630308.6296,63257.2498,south,false,0,None
SD,40,48,60,320,640976.6296,63257.2498,south,false,0,None